"trial","ref_position","var_area","response","correct","rt"
1,"R",13.3886689746287,"L",TRUE,6.44200015068054
2,"L",14.3702505866531,"R",TRUE,2.19100022315979
3,"L",11.6076708186883,"R",TRUE,2.09599995613098
4,"R",14.5485283907037,"L",TRUE,3.71499991416931
5,"L",9.1042054311838,"R",TRUE,2.59799981117249
6,"L",14.7479667952284,"L",FALSE,1.39999985694885
7,"L",9.11940854298882,"R",TRUE,1.81000018119812
8,"R",12.1715844944119,"L",TRUE,1.70999979972839
9,"R",13.1017494664993,"L",TRUE,2.1010000705719
10,"L",13.7623893294949,"R",TRUE,2.10500001907349
11,"R",9.2158590129111,"R",FALSE,1.89299988746643
12,"R",8.05574385775253,"R",TRUE,2.1949999332428
13,"L",9.8031509516295,"L",FALSE,1.19099998474121
14,"R",10.9703984553926,"L",TRUE,1.90100002288818
15,"R",10.8250055555254,"L",TRUE,1.79999995231628
16,"L",14.1347515094094,"R",TRUE,1.90400004386902
17,"R",13.6011350797489,"L",TRUE,1.69200015068054
18,"L",14.8731899794657,"R",TRUE,1.59799981117249
19,"L",11.7490715254098,"R",TRUE,1.69199991226196
20,"L",12.0176111003384,"R",TRUE,1.69099998474121
21,"R",8.41509246267378,"R",TRUE,1.39300012588501
