"trial","ref_position","var_area","response","correct","rt"
1,"L",12.8050949557219,"R",TRUE,4.33800005912781
2,"L",10.5662373134401,"R",TRUE,3.58599996566772
3,"R",14.7633677257691,"L",TRUE,3.69300007820129
4,"R",14.4073531068861,"L",TRUE,3.33500003814697
5,"L",12.4176812758669,"R",TRUE,2.88899993896484
6,"L",8.15960586839356,"R",FALSE,4.45500016212463
7,"L",12.6979981642216,"R",TRUE,3.57299995422363
8,"R",11.6291044554673,"L",TRUE,4.44700002670288
9,"L",12.7608497163747,"R",TRUE,3.28299999237061
10,"R",11.6013728731778,"L",TRUE,3.53699994087219
11,"R",8.25624532508664,"R",TRUE,3.56599998474121
12,"L",11.8248322939035,"R",TRUE,3.42300009727478
13,"L",8.84198004775681,"R",FALSE,2.69600009918213
14,"L",8.37727907928638,"L",TRUE,4.31800007820129
15,"L",8.69912372599356,"R",FALSE,3.53900003433228
16,"L",11.8582677184604,"R",TRUE,2.6780002117157
17,"L",14.2878538833465,"R",TRUE,2.92499995231628
18,"L",8.3098597030621,"R",FALSE,1.0460000038147
19,"R",9.81683218665421,"L",TRUE,5.09000015258789
20,"R",10.2328992881812,"L",TRUE,3.56600022315979
21,"L",14.9042911054567,"R",TRUE,2.90900015830994
22,"R",12.005739423912,"L",TRUE,3.76600003242493
